#,A,x0,sigma
170,228.9638124,175.750087,3.911451907
180,228.3488068,170.3698096,3.95819538
190,247.7073106,163.4983556,4.104924089
200,245.041491,155.6357966,3.701597615
210,255.3543189,146.8441193,-4.244576044
220,225.7702275,138.1256549,-4.936135993
230,213.800952,129.6885991,-5.479988721
240,205.665006,120.0681186,6.070423396
250,211.3527427,108.9830232,6.39253262
260,236.4327682,96.47306308,-5.947511436
270,236.6537599,84.84729461,-5.421054444
280,220.4168429,73.26754619,6.478362437
290,152.0472693,59.58753621,12.34983175
300,124.3505444,33.45717613,-15.47911405
310,133.8557565,11.85701999,11.06297647
320,140.0536697,3.353840933,-8.369394494
330,128.4034814,2.763581957,-6.57331173
