#,A,x0,sigma
30,146.2068871,89.31829849,9.156690924
40,185.5442426,88.2895275,-7.399766016
50,186.6853137,87.99718457,-7.168733731
60,179.1001675,88.5584517,8.030546964
70,158.5239305,90.85641548,-10.08264899
80,134.1219931,95.57066284,13.47041585
90,118.9817235,100.9128704,17.26243623
130,106.6095866,173.4107648,12.11146777
140,75.05521531,2.178064611,8.297546588
160,156.3640091,175.0790391,4.842990836
180,221.1449579,170.5550333,4.655590508
190,242.3371459,164.9143053,4.52412542
200,239.3219636,157.002644,4.617170765
210,241.951279,147.1929598,4.466633916
220,237.7404029,137.3819558,4.216274808
230,224.8656946,127.8638816,-4.627627323
240,206.1149738,116.9961383,-5.314787084
250,213.9654254,106.1569278,5.652238793
260,221.781053,96.4864634,5.390601554
270,216.5215735,88.85784285,-5.465550428
280,190.1633283,79.38033287,-6.818296407
290,183.9883536,70.74048426,7.698034915
300,165.4242947,65.82704957,9.006804828
310,146.9875446,64.29947814,11.14778866
320,121.3631963,65.04689317,16.33891325
