#,A,x0,sigma
90,121.6364924,6.974353415,-11.91740817
100,143.1745174,4.42625568,-5.738247551
120,148.8303558,2.842366137,-3.633675891
130,150.7773206,2.097506817,-3.161121903
140,122.0925947,1.752765521,3.30274309
180,256.68292,174.1570016,3.213242104
190,257.1331927,169.7983249,4.208356312
200,249.2418952,163.9768186,4.379816264
210,253.2771714,155.8691921,4.128946024
220,206.1642626,147.5091763,6.078013411
230,220.4135125,140.3854292,4.756152604
240,208.4176451,131.1085274,5.18176456
250,198.210019,122.4276723,5.521516363
260,191.535216,111.9844004,-6.020089704
270,175.8675403,100.0408562,-7.44927377
280,180.107445,85.95980551,-8.239192384
290,166.0747582,70.00270303,10.84585141
300,121.0359212,47.96159016,16.77089179
310,128.6865945,24.59808926,13.99309662
320,158.9670934,8.424452526,8.380352686
330,133.8876377,2.86264444,-4.027123266
