#,A,x0,sigma
20,102.9222793,4.194380858,6.988755431
30,92.17287699,0.430592325,-16.60972579
80,111.2641471,160.9383505,13.50525066
90,132.4341225,161.1336253,10.15179165
100,136.3498599,164.6990576,9.54286104
120,68.07394011,3.71900455,5.517035877
130,145.3890409,4.276002927,4.165948548
140,169.4093471,4.223253324,-3.978752775
150,149.6828632,3.069350949,3.021015613
170,155.7419902,178.9936351,3.565350604
180,219.211077,174.798411,3.523985404
190,208.6746954,168.7817858,3.902078463
200,212.6453799,162.6652178,4.367341095
210,221.0433417,155.299206,3.758623032
220,233.2783487,146.454335,3.01655446
230,242.427595,135.143029,-3.095554263
240,214.3917166,122.6498796,4.122391573
250,184.5980837,110.6243447,-4.865632679
260,175.2354719,98.57831146,6.49882781
270,172.2208258,88.15427296,-6.604488446
280,205.8951397,78.6396541,-6.550835138
290,209.3003666,71.96970038,5.127076311
300,207.699206,63.39380469,5.853636531
310,144.8998271,49.29368286,-10.07766308
320,118.5064819,26.86802967,-13.60896064
330,142.8238348,9.625147748,8.118180141
340,155.8553721,4.359065104,4.007198495
350,141.0825395,3.275097028,3.284872907
360,90.71841404,3.884923504,4.228924647
