#,A,x0,sigma
30,124.45975,97.31311553,9.210543569
40,184.4947113,94.92061826,4.380932377
50,203.9166548,94.26052896,3.208560605
60,200.0347471,95.49755905,3.750304342
70,175.1838303,98.66876582,-5.158369377
80,160.3180528,105.1757931,6.109334474
90,162.3092371,113.588605,-5.767385528
100,180.0306516,120.4792589,-5.010055817
110,189.3185176,125.9430498,4.525425495
120,174.2159238,131.3525681,-4.955973804
130,162.1699236,139.1375406,-5.959390979
140,146.9188283,151.6148815,6.793881257
150,153.0784048,164.4586193,-6.842721046
160,162.3035076,170.3706083,5.290383551
170,186.7887009,171.1602999,4.084804102
180,176.7761278,169.8491066,5.201118351
190,208.3740338,166.2141183,4.911602858
200,202.2125372,159.6015041,5.564977722
210,160.6674311,146.4983889,6.984954124
220,164.5700314,127.8249705,-5.534894919
230,185.6256017,114.0542673,4.263357997
240,209.7794014,104.4198149,-3.460174076
250,211.5028793,97.26253063,-3.087185282
260,234.0901574,90.74576902,2.168952786
270,249.7468408,83.54150913,2.749432773
280,237.5149542,75.8618352,2.842069509
290,214.5327326,71.81206934,-3.061540343
300,184.627274,69.77384731,3.945944682
310,169.9102723,67.88608966,-4.808788861
320,152.8037532,64.25017453,-6.860131239
350,108.2682624,169.1755451,5.883080594
360,106.9924718,161.7104874,7.097217354
